# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Dec 2019
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2018-09).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 -0.1358005        nan  0.8208618        nan -0.0662721        nan -0.0348649        nan -0.1295226        nan  0.0468519        nan  0.0744876        nan  0.0570591        nan -0.0361232        nan  0.0086455        nan  0.0364706        nan  0.0047845        nan  0.1416948        nan -0.0009175        nan  0.0016974        nan  0.0052296        nan  0.0052919        nan  0.0001358        nan -0.0027541        nan  0.0006058        nan  0.0033120        nan -0.0011203        nan  0.0046138        nan  0.0000661        nan  0.0879006        nan -0.0408939        nan  0.0274695        nan  0.0192254        nan -0.0042033        nan  0.0263407        nan  0.0087431        nan -0.0001902        nan -0.0040764        nan  0.0000113        nan -0.0050535        nan -0.0001153        nan  0.0278731        nan  0.0123267        nan
1  1  1.0504627  0.2409217 -0.4038978  0.2863640  0.0203020  0.0074017  0.0154238 -0.0090612 -1.2297043  0.9566438  0.0320782  0.0843891 -0.9435924  0.5380516  0.0341203 -0.0161612 -0.0467357  0.0124616  0.0394100 -0.0204382  0.2559608 -0.3348911  0.0281190 -0.0477060  0.0041642  0.0093090  0.0055362 -0.0078135 -0.0028657  0.0193407 -0.0009628 -0.0027647 -0.0065288  0.0065660 -0.0020602 -0.0016141 -0.0091375 -0.0038941 -0.0026666  0.0018887  0.0058542 -0.0068406 -0.0001490  0.0002950 -0.0055439 -0.0073400 -0.0010513  0.0018998 -0.1243950  0.0190583 -0.0467078  0.0228974  0.0104974  0.0167018  0.0133469 -0.0133756  0.0739322 -0.0156787  0.0469308 -0.0215898  0.0022748  0.0018972  0.0002618 -0.0009147  0.0043532 -0.0011849  0.0004097 -0.0000966 -0.0036935 -0.0037057 -0.0009708  0.0018493 -0.0082337  0.0024193 -0.0012512  0.0025493
2  0 -0.3175530        nan -0.1192685        nan  0.0482331        nan  0.0294148        nan  0.1680589        nan  0.0183362        nan  0.1166173        nan -0.0158994        nan -0.0115915        nan  0.0003711        nan -0.0833442        nan  0.0185732        nan  0.0004899        nan  0.0427594        nan  0.0074658        nan -0.0009875        nan  0.0037569        nan  0.0032962        nan  0.0013067        nan  0.0025619        nan -0.0063967        nan -0.0000872        nan  0.0018901        nan -0.0008158        nan  0.0496282        nan -0.0308945        nan  0.0103006        nan  0.0112190        nan -0.0512974        nan  0.0146468        nan -0.0025553        nan  0.0010324        nan -0.0020120        nan  0.0006233        nan  0.0027321        nan -0.0002864        nan -0.0034320        nan -0.0025625        nan
2  1  0.1403593 -0.6056009 -0.3357670  0.0663516 -0.1144415 -0.2655310  0.0072437 -0.0264647  0.0036077  0.0113106 -0.1626746  0.2228086  0.0196362 -0.0198621  0.0024145  0.0466668 -0.3098774  0.0959962  0.0102808  0.0067450  0.0496661 -0.0130460  0.0279884 -0.0692885  0.0119942 -0.0744202 -0.0067817  0.0085273  0.0005303  0.0039618 -0.0000081  0.0018879  0.0029187 -0.0073108  0.0023198  0.0016519  0.0000325  0.0205175 -0.0005552  0.0012092 -0.0008120 -0.0018065 -0.0006315 -0.0016106 -0.0031335 -0.0023090 -0.0017906 -0.0007110 -0.0198420 -0.0195322  0.0001100  0.0576923 -0.1456740  0.0723091  0.0030531 -0.0206439  0.0153810  0.0011056  0.0190520 -0.0545687  0.0005063  0.0102764  0.0008517  0.0006134  0.0008926 -0.0004910  0.0006644  0.0000027  0.0009444 -0.0012403 -0.0010396 -0.0000343  0.0004362 -0.0023006 -0.0115059 -0.0069763
2  2 -0.2442969  0.3335208  0.1209618 -0.2167466  0.0731678  0.0065736  0.0256984  0.0358476 -0.0577718 -0.2209566 -0.0189461 -0.0012177  0.0272330  0.0377046  0.0095989 -0.0119934 -0.0141708 -0.0145901  0.0044525 -0.0032495  0.0239604  0.1548704  0.0035653  0.0000300  0.0038518 -0.0052050  0.0050173 -0.0058358 -0.0053371 -0.0027428 -0.0012809  0.0014277 -0.0048003 -0.0054655  0.0014705  0.0038747  0.0030977 -0.0045177  0.0012696 -0.0009985  0.0022252  0.0014073  0.0002732 -0.0001007  0.0044725 -0.0014660  0.0001381 -0.0007965 -0.0133116 -0.0731371 -0.0030555  0.0087336 -0.0060279  0.0046758 -0.0058371  0.0064163  0.0241916  0.0895180  0.0010168 -0.0167712 -0.0015397  0.0042914  0.0002497 -0.0002920 -0.0010903  0.0004146 -0.0003705  0.0002251  0.0009017 -0.0042040  0.0001594 -0.0010065  0.0070158 -0.0023069  0.0009029 -0.0025143
3  0 -0.0227931        nan  0.2849668        nan  0.0337665        nan -0.0223683        nan  0.0059179        nan -0.1500804        nan  0.0001844        nan  0.0231411        nan -0.1245991        nan  0.0095303        nan  0.0002529        nan  0.1040022        nan -0.0179852        nan  0.0000582        nan  0.0027349        nan -0.0017572        nan -0.0058128        nan  0.0009754        nan  0.0034455        nan -0.0010831        nan -0.0025325        nan  0.0026465        nan -0.0033655        nan -0.0011404        nan -0.0156179        nan -0.0159523        nan -0.0761561        nan  0.0004389        nan -0.0044462        nan  0.0337750        nan  0.0012181        nan  0.0012625        nan  0.0021991        nan  0.0023877        nan -0.0006637        nan -0.0015568        nan -0.0167800        nan -0.0076839        nan
3  1  0.4777376  0.0821007  0.0125882 -0.0419837  0.0122043 -0.0609713 -0.0835978  0.0638136 -0.9557727  0.9361161  0.0077311 -0.0062310 -0.6679688  0.6043215  0.0405160  0.0263141 -0.0254970  0.0267522  0.0351782  0.0155780  0.2330918 -0.3711721  0.0180669  0.0179523 -0.0008576 -0.0014373 -0.0235621 -0.0182680 -0.0057542  0.0153160  0.0020977  0.0004159 -0.0070954  0.0000869 -0.0053171 -0.0028026 -0.0027762 -0.0020065  0.0014099 -0.0018009  0.0040707 -0.0052378 -0.0002334 -0.0000459 -0.0010721 -0.0012614  0.0012484  0.0018697 -0.1096789  0.0814730 -0.0141720 -0.0276673 -0.0071871  0.0238377  0.0032475  0.0349674  0.0992933 -0.0945598  0.0205138  0.0262254  0.0015580  0.0013396  0.0005157 -0.0009848 -0.0006042 -0.0005166 -0.0003833 -0.0003202 -0.0029254 -0.0016211  0.0003306  0.0006109  0.0051874  0.0000329  0.0013108 -0.0011173
3  2  0.0970858  0.1505601  0.8048154 -0.0816366  0.0201638 -0.0419452 -0.0105852 -0.0136282 -0.0061760 -0.0110285 -0.0391125  0.0838532 -0.0134382  0.0049990 -0.0293121 -0.0061848 -0.0083343  0.0173824  0.0008194  0.0033852 -0.0079960  0.0207424 -0.0230104 -0.0156357  0.0107144  0.0117297  0.0029388 -0.0095383  0.0002564 -0.0006900  0.0005569  0.0013817  0.0007528 -0.0048316 -0.0012321 -0.0007357  0.0029634 -0.0032841 -0.0003270 -0.0002869 -0.0004772  0.0004583  0.0001048 -0.0004697 -0.0004408 -0.0010545  0.0000502 -0.0002364  0.0076502 -0.0063933  0.0121423 -0.0139904 -0.0209575  0.0046005  0.0023543  0.0024921 -0.0121450  0.0094074 -0.0180874 -0.0027561 -0.0001944  0.0019608 -0.0001178  0.0009382  0.0000138  0.0004140 -0.0004108 -0.0001251 -0.0001751 -0.0023956 -0.0000583 -0.0009098 -0.0023597  0.0024102  0.0062199  0.0051074
3  3  0.0094935  0.0308408  0.0527457  0.0329607 -0.0331918 -0.0027787 -0.0249919 -0.0215600  0.0074015 -0.0400434  0.0242270 -0.0548634  0.0120334 -0.0023400  0.0174592 -0.0243039  0.0044725 -0.0142745 -0.0040148  0.0080494 -0.0086085  0.0021086  0.0145142 -0.0230160 -0.0069563  0.0025458 -0.0035625  0.0146454  0.0011084 -0.0003092  0.0017645  0.0009543  0.0051579  0.0060419  0.0020857 -0.0002284 -0.0016728  0.0000028 -0.0008145 -0.0000478 -0.0001995 -0.0004956 -0.0000881 -0.0003806 -0.0048681 -0.0040001 -0.0012173  0.0002792  0.0139718  0.0099696 -0.0039923  0.0165669  0.0032529  0.0079521  0.0066499  0.0014621  0.0033200 -0.0003744  0.0079914 -0.0159639  0.0030657 -0.0000742  0.0005961 -0.0003045  0.0012306  0.0001818 -0.0001528 -0.0000051 -0.0022576 -0.0002212 -0.0008062  0.0003007 -0.0012472 -0.0025074 -0.0002942  0.0011340
4  0 -0.2775864        nan  0.1497244        nan -0.0169621        nan  0.0078207        nan  0.2079102        nan -0.0379696        nan  0.2200919        nan  0.0301066        nan  0.0164223        nan  0.0369236        nan -0.0685779        nan  0.0606048        nan  0.0015149        nan -0.0050264        nan  0.0072904        nan  0.0016368        nan  0.0035072        nan  0.0013992        nan  0.0021763        nan  0.0044629        nan -0.0079926        nan -0.0000356        nan -0.0005479        nan -0.0003081        nan  0.0600562        nan -0.0395683        nan  0.0020461        nan  0.0253468        nan -0.0325853        nan  0.0426969        nan -0.0003753        nan  0.0012374        nan -0.0065126        nan -0.0000334        nan -0.0012213        nan -0.0003938        nan  0.0000101        nan  0.0006520        nan
