# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Jul 2021
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2021-02).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1  0.1429547  0.2462561  0.3400457  0.1225757 -0.0204923 -0.4090566  0.0072075  0.0376024  0.0501704 -0.0428789 -0.0381237 -0.1294636  0.0179961 -0.0521917 -0.0911056 -0.0855449  0.2517607  0.3703573  0.0084412 -0.0063169 -0.0280369 -0.0164929 -0.0168347  0.0169292 -0.0728466  0.0732468  0.0032663 -0.0039213 -0.0011424 -0.0002064  0.0009701  0.0000458  0.0036817  0.0074617 -0.0007246  0.0003150 -0.0004159  0.0085788 -0.0000178  0.0006014  0.0001389  0.0021906  0.0006238 -0.0007340 -0.0020251  0.0023884 -0.0008278  0.0004104 -0.0295452  0.0057911 -0.0319717 -0.0094425  0.0367551  0.1694021  0.0051487 -0.0074234  0.0009226 -0.0032317  0.0011946  0.0102583  0.0007468 -0.0128226  0.0005333 -0.0004443 -0.0004240  0.0009415 -0.0000855  0.0004983 -0.0041074  0.0067985 -0.0002744  0.0003637 -0.0040975  0.0007299  0.0082617  0.0043470
4  2  0.0671174  0.2175897  0.0662711 -0.0296570  0.0138568  0.0012935  0.0112194  0.0211716 -0.0559693 -0.1960712  0.0407602 -0.0067315  0.0525793  0.0098381  0.0130502 -0.0162385 -0.0102957 -0.0239791 -0.0046862  0.0022013  0.0607204  0.1028069  0.0046826 -0.0154155  0.0007147  0.0003400  0.0134911  0.0115735 -0.0019679 -0.0027838  0.0000263 -0.0000947  0.0010675 -0.0003196 -0.0022178 -0.0015660  0.0010714  0.0008126 -0.0013476 -0.0005284  0.0000651 -0.0003891 -0.0001423  0.0000116  0.0012929 -0.0010032 -0.0014419  0.0004828 -0.0284872  0.0086486  0.0006803  0.0170195  0.0002261  0.0080625 -0.0017217 -0.0061258  0.0320797  0.0169123 -0.0015208 -0.0153229 -0.0012545 -0.0011024  0.0014939 -0.0006045  0.0009064 -0.0001818  0.0001881  0.0000715  0.0031150  0.0004825 -0.0012603  0.0008463 -0.0019299  0.0004375  0.0002391  0.0004146
4  3 -0.1476682 -0.0541266 -0.4432448  0.0134099  0.0155444  0.0095147 -0.0118285  0.0187873  0.0183144  0.0137806 -0.0082011 -0.0370099  0.0147395  0.0343906  0.0162856 -0.0053768 -0.0141063 -0.0010191  0.0017290 -0.0023482  0.0010847  0.0261699  0.0218670  0.0070185 -0.0018468 -0.0024274  0.0034141  0.0019864  0.0007129  0.0009848 -0.0008237 -0.0007708 -0.0002936 -0.0005362  0.0008492 -0.0006686 -0.0001865 -0.0006830 -0.0002837 -0.0002255 -0.0004219  0.0004308  0.0001743  0.0002188 -0.0004766 -0.0011433 -0.0002924  0.0001470  0.0036163 -0.0207662 -0.0031696 -0.0080847 -0.0043936  0.0000671  0.0021158  0.0021548  0.0014741  0.0248659  0.0103506  0.0077394  0.0008889  0.0012402  0.0000587 -0.0008722 -0.0003792 -0.0008067  0.0003885  0.0002464 -0.0004291 -0.0007849 -0.0005173  0.0005705  0.0007482 -0.0006656 -0.0025627 -0.0008855
5  0  0.1546367        NaN  0.5596422        NaN  0.0747455        NaN  0.0376104        NaN -0.0006003        NaN -0.3991201        NaN -0.0196018        NaN -0.1139318        NaN -0.1769024        NaN -0.0031950        NaN -0.0043076        NaN  0.1387199        NaN -0.0092578        NaN  0.0027294        NaN -0.0026465        NaN -0.0048102        NaN -0.0009091        NaN -0.0016862        NaN -0.0012725        NaN  0.0000652        NaN  0.0031628        NaN  0.0059838        NaN  0.0017638        NaN  0.0013119        NaN -0.0166486        NaN -0.0822410        NaN -0.1112332        NaN  0.0009626        NaN  0.0107085        NaN  0.0678337        NaN  0.0030496        NaN -0.0002218        NaN -0.0013631        NaN  0.0032706        NaN -0.0019223        NaN  0.0003172        NaN  0.0093300        NaN  0.0076207        NaN
5  1  0.1620817 -0.6205083  0.0727114 -0.0308465  0.0041405 -0.0604353  0.0068969 -0.0038507 -0.4142454  0.9435071 -0.0131041 -0.0204996 -0.4203421  0.7854844  0.0151394 -0.0045008 -0.0107900  0.0373521  0.0183659 -0.0160814  0.0222743 -0.2811487  0.0239998  0.0195955  0.0025545 -0.0013440  0.0148434  0.0133705 -0.0006064  0.0093224 -0.0000118  0.0011166 -0.0045536  0.0026204 -0.0036340 -0.0067153 -0.0014653 -0.0013812 -0.0009325 -0.0055676  0.0018635 -0.0052979  0.0002403 -0.0000521  0.0010392 -0.0037260  0.0008168  0.0019391 -0.0014352  0.0632290 -0.0229071 -0.0127916  0.0026196  0.0254300  0.0101320  0.0157796  0.0040862 -0.0815590  0.0218934  0.0129202 -0.0006294  0.0002918 -0.0015139 -0.0011280  0.0025962 -0.0004355  0.0001625 -0.0003299  0.0017571 -0.0008254  0.0004773  0.0013398 -0.0037083  0.0067367  0.0000884 -0.0007384
5  2  0.1210199  0.0374781 -0.1492700 -0.0425322  0.0201295 -0.0199366 -0.0212506  0.0053731  0.0198813  0.0227171 -0.0973846  0.0346051  0.0696671  0.0324967  0.0142180 -0.0278231 -0.0018533  0.0310258 -0.0061355 -0.0042624  0.0149641  0.0179462  0.0444106 -0.0228156  0.0361178  0.0099666  0.0042544 -0.0019648 -0.0011998  0.0021860 -0.0003465  0.0012971  0.0054923  0.0039834 -0.0012285 -0.0003035  0.0068756  0.0022121 -0.0007665 -0.0005681 -0.0001732 -0.0011022  0.0001234 -0.0002420 -0.0000270 -0.0005940 -0.0003181 -0.0006218  0.0225316  0.0013363 -0.0087711 -0.0094849 -0.0152149 -0.0043333  0.0083021 -0.0009718 -0.0030866  0.0026467  0.0244001 -0.0035531  0.0026646  0.0024778  0.0003623  0.0002642 -0.0001396 -0.0005961  0.0001636 -0.0001843 -0.0005434 -0.0007234 -0.0004554 -0.0002745  0.0062094 -0.0062463 -0.0015483 -0.0009604
5  3 -0.0118878 -0.0055552 -0.0687256  0.1000192  0.0000407  0.0169612 -0.0099324 -0.0282031  0.0011050  0.0037247 -0.0267450  0.0025018 -0.0361436  0.0304435 -0.0051383 -0.0003202  0.0074895 -0.0043499 -0.0007555  0.0072440 -0.0349659  0.0037950 -0.0049900  0.0041347  0.0033522  0.0018393 -0.0021149 -0.0030269 -0.0000466  0.0003557  0.0000177  0.0001862 -0.0013357 -0.0013379  0.0006820 -0.0000056  0.0009633 -0.0029700  0.0004673 -0.0004121 -0.0003501  0.0005554  0.0001672  0.0000305  0.0024219  0.0007953  0.0000464 -0.0001260  0.0166923  0.0049112  0.0084115 -0.0087490 -0.0035647 -0.0002873  0.0041288  0.0055957 -0.0171114 -0.0033282 -0.0064459  0.0064420 -0.0004205  0.0004465  0.0000022  0.0001580 -0.0017855 -0.0001360 -0.0003961  0.0000496  0.0001604 -0.0017657  0.0002123 -0.0002690  0.0001378  0.0005082  0.0001258 -0.0005392
6  0 -0.3480445        NaN  0.1229083        NaN -0.0230314        NaN -0.0660051        NaN  0.1512711        NaN  0.0105111        NaN  0.2273271        NaN  0.0398365        NaN  0.0081731        NaN  0.0884673        NaN -0.0265677        NaN  0.0307380        NaN -0.0001952        NaN  0.0110362        NaN  0.0095242        NaN  0.0011925        NaN  0.0020517        NaN  0.0030618        NaN  0.0008971        NaN  0.0046558        NaN -0.0123194        NaN -0.0000418        NaN  0.0008914        NaN -0.0009222        NaN  0.0272242        NaN -0.0130349        NaN  0.0051172        NaN  0.0533227        NaN -0.0043935        NaN  0.0184162        NaN -0.0013579        NaN  0.0011235        NaN -0.0055128        NaN  0.0001710        NaN  0.0028547        NaN -0.0006800        NaN -0.0038527        NaN -0.0006809        NaN
6  1  0.0504782 -0.1141766 -0.0541150  0.4930883 -0.2138432  0.0054116 -0.0155924  0.0480044  0.0029015 -0.0146903 -0.2851639 -0.4728254  0.0105334  0.0161854 -0.1501636 -0.3861296 -0.1111732 -0.0042479  0.0027782 -0.0133070  0.0054645 -0.0116551  0.0632677  0.0647301  0.0728564 -0.0363705  0.0046277 -0.0033718 -0.0003417  0.0008866 -0.0015880 -0.0019282  0.0073675  0.0036640 -0.0008322 -0.0003561  0.0081281  0.0197391 -0.0007318  0.0005234 -0.0014308 -0.0012955  0.0022441  0.0013187 -0.0028887 -0.0011678 -0.0007294  0.0005650  0.0187970  0.0329661 -0.0219359 -0.0547840 -0.0505838  0.0103695  0.0023232 -0.0137049 -0.0100465 -0.0295061  0.0193811  0.0244384  0.0035812  0.0048944  0.0006807 -0.0004101  0.0009291 -0.0012710  0.0009627  0.0011285  0.0008808 -0.0025092 -0.0008129  0.0006874  0.0060865 -0.0040094 -0.0013691 -0.0030130
6  2 -0.0694712  0.2578240  0.0042264 -0.0359281  0.0094276  0.0220031  0.0337909  0.0091467 -0.0572503 -0.1830961  0.0077107  0.0427955  0.0760052  0.0178774  0.0171498  0.0022287  0.0000598 -0.0234126 -0.0131124  0.0043667  0.0641509  0.0663213  0.0072538 -0.0060501  0.0010172 -0.0006556  0.0034525 -0.0115500 -0.0032557  0.0017309  0.0005255  0.0002973 -0.0006974 -0.0000231 -0.0012307  0.0022754  0.0015699 -0.0025901 -0.0003983 -0.0010861  0.0030723  0.0008166 -0.0004039  0.0000744  0.0018588  0.0008072 -0.0002402 -0.0010862 -0.0339410  0.0506428  0.0010168 -0.0090817 -0.0001898  0.0049621 -0.0062122 -0.0071205  0.0368804 -0.0227485  0.0026372  0.0032422 -0.0009281 -0.0001933  0.0003142 -0.0002935 -0.0010419  0.0007364  0.0000327 -0.0001265 -0.0006676 -0.0002448 -0.0003660 -0.0003330  0.0071691 -0.0035570 -0.0006689  0.0000607
