# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Dec 2025
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2025-09).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1  0.3244621  0.0565037  0.2852149  0.1482679 -0.0414987 -0.4567912  0.0068866  0.0327986  0.0559028 -0.0537540 -0.0249293 -0.1414487  0.0357618 -0.0450202 -0.0885256 -0.0719974  0.2584106  0.3952527  0.0053551 -0.0048968 -0.0207248  0.0028478 -0.0249394  0.0281053 -0.0735522  0.0504788  0.0027943 -0.0039530 -0.0008689 -0.0010015 -0.0003194  0.0001656  0.0043207  0.0077343 -0.0002072  0.0002097 -0.0009775  0.0116912  0.0007391  0.0003276  0.0002588  0.0024784  0.0008151 -0.0008043 -0.0026369  0.0034002  0.0000111  0.0002449 -0.0186567  0.0022686 -0.0213347 -0.0134363  0.0435400  0.1686695  0.0044622 -0.0053114  0.0053015 -0.0014357 -0.0078237  0.0165542  0.0008876 -0.0124909 -0.0000240 -0.0001807 -0.0010820  0.0008957  0.0001390  0.0004946 -0.0043214  0.0076824  0.0002770  0.0002065 -0.0022693  0.0002011  0.0085932  0.0044237
4  2  0.0324887  0.2003848  0.0405555 -0.0826185  0.0069451  0.0128857  0.0138771  0.0221777 -0.0704310 -0.2059115  0.0367683  0.0050486  0.0450172  0.0095861  0.0132661 -0.0058616 -0.0084163 -0.0221826 -0.0046468  0.0030177  0.0572263  0.1148254  0.0017593 -0.0084430  0.0016099 -0.0007452  0.0137098  0.0125755 -0.0020453 -0.0024070 -0.0000418  0.0005770  0.0009924 -0.0000649 -0.0018779 -0.0020548  0.0003252  0.0018290 -0.0008834 -0.0009574 -0.0002400  0.0001697 -0.0000303 -0.0002187  0.0003325 -0.0009933 -0.0009471  0.0001741 -0.0336743  0.0027319  0.0013494  0.0077881  0.0026503  0.0023777 -0.0007340 -0.0056638  0.0349793  0.0205680 -0.0016396 -0.0062473 -0.0007702 -0.0014385  0.0010269 -0.0003233  0.0008345 -0.0008962  0.0001634  0.0000712  0.0023226  0.0007992 -0.0008270  0.0004823 -0.0007336  0.0026364  0.0000798  0.0003694
4  3 -0.1401966  0.0143826 -0.4445870 -0.0673416  0.0196055  0.0069673 -0.0114693  0.0231973  0.0358881 -0.0068685 -0.0035333 -0.0258173  0.0055739  0.0191896  0.0119007  0.0017499 -0.0171775  0.0006594  0.0025100 -0.0057862 -0.0081251  0.0155416  0.0174257  0.0092947 -0.0019782 -0.0015404  0.0021313  0.0019059  0.0007420 -0.0008273 -0.0010671 -0.0006944 -0.0017188 -0.0018165  0.0013229 -0.0006761 -0.0002648 -0.0018882  0.0002697 -0.0001945 -0.0005863  0.0006743  0.0001351  0.0003558 -0.0000187 -0.0020521  0.0000543  0.0002284  0.0037491 -0.0103519  0.0013791 -0.0077044  0.0001198 -0.0001829  0.0018155  0.0001877 -0.0040525  0.0165299  0.0039707  0.0079802  0.0006611  0.0021008 -0.0001996 -0.0006682 -0.0000713 -0.0003854  0.0003424  0.0000529 -0.0000792 -0.0019560 -0.0000641  0.0005038  0.0013433 -0.0009558 -0.0025122 -0.0002180
5  0  0.1053533        NaN -0.7477370        NaN  0.0723054        NaN  0.0191915        NaN -0.0307097        NaN -0.3949995        NaN -0.0306466        NaN -0.0987101        NaN -0.1777675        NaN  0.0035804        NaN -0.0067311        NaN  0.1356991        NaN -0.0108473        NaN  0.0037545        NaN -0.0029375        NaN -0.0051015        NaN -0.0018387        NaN -0.0008513        NaN -0.0023615        NaN  0.0000455        NaN  0.0031722        NaN  0.0059419        NaN  0.0017010        NaN  0.0012084        NaN -0.0043678        NaN -0.0663868        NaN -0.1125552        NaN  0.0053694        NaN  0.0031771        NaN  0.0587084        NaN  0.0038853        NaN -0.0001159        NaN -0.0008255        NaN  0.0033338        NaN -0.0025975        NaN  0.0000921        NaN  0.0083728        NaN  0.0136075        NaN
5  1  0.1966021 -0.5649586  0.0456041 -0.0705905 -0.0099453 -0.0269459  0.0080012 -0.0038087 -0.4082109  0.9976002 -0.0094265 -0.0097311 -0.4167141  0.8059057  0.0143674 -0.0056522 -0.0061803  0.0197188  0.0203194 -0.0154255  0.0277561 -0.2918638  0.0228320  0.0134646  0.0019585 -0.0009464  0.0123322  0.0133058 -0.0007945  0.0097882 -0.0003685  0.0010007 -0.0032046  0.0025089 -0.0033917 -0.0072887 -0.0007235 -0.0012264 -0.0008750 -0.0057228  0.0016560 -0.0053206  0.0002531 -0.0000781  0.0023999 -0.0032176  0.0007293  0.0020483  0.0132684  0.0468175 -0.0230316 -0.0134355  0.0036503  0.0195846  0.0111948  0.0160778 -0.0088613 -0.0726425  0.0208102  0.0129227 -0.0011789 -0.0000133 -0.0014439 -0.0010026  0.0028920 -0.0002643  0.0002638 -0.0001356  0.0024070 -0.0004623  0.0003482  0.0012710 -0.0038956  0.0064796  0.0001383 -0.0008514
5  2  0.0141781  0.0935260 -0.1182073 -0.0416547  0.0315599 -0.0424874 -0.0146276  0.0146094  0.0032443  0.0222451 -0.1112569  0.0430531  0.0510596  0.0331352  0.0253816 -0.0286380 -0.0043513  0.0392639 -0.0066975 -0.0060381  0.0157210  0.0200395  0.0626291 -0.0272708  0.0395735  0.0094262  0.0031514 -0.0018949 -0.0004790  0.0009012  0.0003235  0.0013185  0.0049874  0.0047976 -0.0011906 -0.0002360  0.0069922  0.0015362 -0.0005666 -0.0004278 -0.0000869 -0.0010046  0.0000660 -0.0002021 -0.0003153 -0.0020563 -0.0001750 -0.0004825  0.0183583 -0.0086873 -0.0172877 -0.0031567 -0.0173248 -0.0023551  0.0081342 -0.0027639 -0.0031061  0.0119086  0.0328899 -0.0099705  0.0028054  0.0034462  0.0004223  0.0002066 -0.0000005 -0.0003355  0.0000747 -0.0001856 -0.0004228 -0.0019139 -0.0003576 -0.0002590  0.0059479 -0.0042941 -0.0018105 -0.0011464
5  3 -0.0179406 -0.0159650 -0.0616594  0.0754961 -0.0036086  0.0071585 -0.0055960 -0.0332215  0.0120085 -0.0059232 -0.0226762 -0.0072466 -0.0426837  0.0263528 -0.0016278 -0.0037143  0.0086396 -0.0035560 -0.0004158  0.0088261 -0.0432844  0.0076098 -0.0039030  0.0009381  0.0034662  0.0015397 -0.0012364 -0.0024473  0.0003458  0.0001106 -0.0005095  0.0006167 -0.0015191 -0.0018789  0.0009078  0.0004600  0.0013058 -0.0026199 -0.0000454 -0.0001071 -0.0003391  0.0006156  0.0002172 -0.0000310  0.0023119  0.0012706 -0.0005556  0.0000570  0.0228460 -0.0013102  0.0050024 -0.0015580 -0.0020328  0.0003061  0.0019311  0.0047058 -0.0237415  0.0033600 -0.0026934  0.0008669 -0.0002629  0.0001037  0.0004663 -0.0001771 -0.0022022  0.0000062 -0.0002227 -0.0000505 -0.0001958 -0.0012255 -0.0003483  0.0000262  0.0003898  0.0002373  0.0000465 -0.0004358
6  0 -0.3491591        NaN -0.1140968        NaN -0.0194975        NaN -0.0715650        NaN  0.1493002        NaN  0.0268925        NaN  0.2242405        NaN  0.0409592        NaN  0.0088939        NaN  0.0924665        NaN -0.0327787        NaN  0.0233285        NaN  0.0008555        NaN  0.0111823        NaN  0.0092006        NaN  0.0015013        NaN  0.0006008        NaN  0.0032273        NaN  0.0003784        NaN  0.0054808        NaN -0.0129027        NaN -0.0002836        NaN  0.0010277        NaN -0.0006754        NaN  0.0265962        NaN -0.0012742        NaN  0.0009294        NaN  0.0554061        NaN -0.0058957        NaN  0.0081670        NaN -0.0008510        NaN  0.0010652        NaN -0.0053103        NaN  0.0001330        NaN  0.0028069        NaN -0.0003633        NaN -0.0037175        NaN  0.0009150        NaN
6  1 -0.0373789 -0.0686719 -0.0988331  0.5064209 -0.2149354  0.0416946 -0.0224470  0.0296897 -0.0144848 -0.0034632 -0.2637659 -0.4807077  0.0093903  0.0239509 -0.1408478 -0.3759044 -0.1079352 -0.0230153  0.0044033 -0.0062286  0.0106663 -0.0035019  0.0612961  0.0794250  0.0754480 -0.0169802  0.0046274 -0.0030088  0.0005798  0.0017490 -0.0014971 -0.0023206  0.0053464  0.0041964 -0.0005307 -0.0001079  0.0074346  0.0190379  0.0000437 -0.0003977 -0.0018197 -0.0019504  0.0023515  0.0014703 -0.0036210 -0.0016448  0.0000900 -0.0002081  0.0089320  0.0180991 -0.0204732 -0.0554494 -0.0550345  0.0140300  0.0064054 -0.0083518 -0.0061472 -0.0165021  0.0163641  0.0300665  0.0043360  0.0037041 -0.0000590  0.0000600  0.0010837 -0.0010230  0.0009808  0.0012143  0.0004920 -0.0025479 -0.0000145 -0.0000781  0.0037577 -0.0018025 -0.0011534 -0.0032664
6  2 -0.0734208  0.2569942  0.0270890 -0.0096464  0.0132560  0.0266154  0.0412339  0.0031071 -0.0668059 -0.2101131  0.0128882  0.0370492  0.0739151  0.0252525  0.0181170  0.0036301  0.0000838 -0.0242976 -0.0148574  0.0084761  0.0633330  0.0890624  0.0077190 -0.0049965  0.0010570 -0.0017622  0.0035261 -0.0115779 -0.0034935  0.0013243  0.0002788  0.0003279 -0.0004786  0.0002030 -0.0014949  0.0024361  0.0009158 -0.0022430 -0.0003217 -0.0010282  0.0037462  0.0006970 -0.0003243  0.0000577  0.0015420  0.0019979 -0.0001829 -0.0008781 -0.0362381  0.0366082 -0.0043189 -0.0084203  0.0008540  0.0011491 -0.0080853 -0.0067267  0.0381398 -0.0099231  0.0061230  0.0038206 -0.0010189 -0.0006761  0.0002399 -0.0004773 -0.0009602  0.0012458  0.0000541 -0.0001560 -0.0007311  0.0006478 -0.0002245 -0.0001582  0.0067276 -0.0047982 -0.0004173  0.0001104
