# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Mar 2024
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2023-12).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1  0.1446498  0.2417873  0.2425905  0.1378268 -0.0189879 -0.4406664  0.0002136  0.0290723  0.0684714 -0.0334439 -0.0239017 -0.1279646  0.0296694 -0.0424108 -0.0967738 -0.0874811  0.2520334  0.3786457  0.0104614 -0.0017468 -0.0213776 -0.0023939 -0.0280102  0.0163304 -0.0718455  0.0734846  0.0027905 -0.0046821 -0.0004048 -0.0024879  0.0005871  0.0001547  0.0016749  0.0076650 -0.0003944  0.0002074 -0.0014553  0.0105695  0.0004652  0.0004180 -0.0001511  0.0026361  0.0006033 -0.0007977 -0.0021826  0.0035547 -0.0002041  0.0001472 -0.0277433  0.0028418 -0.0205855 -0.0079046  0.0394293  0.1723116  0.0045951 -0.0078926  0.0034812 -0.0011278 -0.0094968  0.0077308  0.0005565 -0.0127883  0.0000368 -0.0000350 -0.0009042  0.0010789 -0.0000224  0.0004658 -0.0039084  0.0074667  0.0000993  0.0000678 -0.0039549  0.0015438  0.0090201  0.0044631
4  2  0.0562556  0.2710065  0.0733601 -0.0401105  0.0239127  0.0235780  0.0103881  0.0212585 -0.0830115 -0.1952532  0.0406354  0.0004822  0.0390557  0.0005227  0.0139078 -0.0115377 -0.0126357 -0.0250697 -0.0040266  0.0028418  0.0564655  0.0904679  0.0052226 -0.0133046  0.0016812 -0.0006528  0.0138117  0.0127661 -0.0017159 -0.0016997  0.0003956  0.0007062  0.0010921 -0.0007120 -0.0023301 -0.0021399  0.0003571  0.0018101 -0.0008268 -0.0007876 -0.0000552 -0.0009244 -0.0001545 -0.0002568  0.0004742 -0.0005644 -0.0008012  0.0001857 -0.0313756  0.0185168 -0.0029592  0.0134743  0.0035005  0.0017797 -0.0008590 -0.0054983  0.0345569  0.0046826  0.0010323 -0.0121204 -0.0013892 -0.0010339  0.0008537 -0.0005076  0.0003482 -0.0007166  0.0002011  0.0000964  0.0015389  0.0008790 -0.0006492  0.0007589 -0.0019030  0.0003351  0.0003499  0.0003867
4  3 -0.1348427 -0.0259161 -0.4469445 -0.0455553  0.0197145  0.0037837 -0.0094631  0.0208605  0.0311218  0.0076231 -0.0070064 -0.0325860  0.0160826  0.0282197  0.0109565  0.0024395 -0.0122648  0.0016886  0.0020162 -0.0053448  0.0024096  0.0217641  0.0171327  0.0125925 -0.0020111 -0.0019921  0.0031110  0.0021961  0.0011439  0.0002236 -0.0007347 -0.0008145 -0.0002668 -0.0020013  0.0010177 -0.0004574 -0.0007688 -0.0008866  0.0001061 -0.0000154 -0.0006641  0.0006090  0.0000893  0.0002747 -0.0007376 -0.0009411 -0.0000080  0.0004206 -0.0034868 -0.0179032  0.0022113 -0.0117771 -0.0048087  0.0007091  0.0013167  0.0017965  0.0065414  0.0215012  0.0038053  0.0117350  0.0012117  0.0013671 -0.0002189 -0.0008880 -0.0003046 -0.0006142  0.0003366  0.0001310 -0.0007660 -0.0009198 -0.0000816  0.0006471  0.0010171 -0.0007879 -0.0025582 -0.0004961
5  0  0.1540562        NaN  0.6376913        NaN  0.0769811        NaN  0.0257097        NaN -0.0109018        NaN -0.4158861        NaN -0.0200391        NaN -0.1193414        NaN -0.1775860        NaN  0.0006067        NaN -0.0008645        NaN  0.1368735        NaN -0.0118728        NaN  0.0031097        NaN -0.0025427        NaN -0.0054278        NaN -0.0007128        NaN -0.0012514        NaN -0.0026953        NaN  0.0000803        NaN  0.0037452        NaN  0.0060058        NaN  0.0035498        NaN  0.0012426        NaN -0.0132703        NaN -0.0785000        NaN -0.1085315        NaN  0.0024652        NaN  0.0094112        NaN  0.0638808        NaN  0.0023764        NaN -0.0002558        NaN -0.0000488        NaN  0.0033427        NaN -0.0012509        NaN  0.0002956        NaN  0.0072978        NaN  0.0071022        NaN
5  1  0.2266476 -0.6197714  0.0617702 -0.0358017 -0.0040816 -0.0358063  0.0041245 -0.0056054 -0.4217707  0.9765038 -0.0093154 -0.0144482 -0.4230918  0.7888899  0.0132347 -0.0047667 -0.0106705  0.0264007  0.0197682 -0.0165245  0.0292480 -0.2885410  0.0212851  0.0158314  0.0026333 -0.0006864  0.0145352  0.0137685  0.0006481  0.0101629  0.0000087  0.0010172 -0.0031850  0.0021415 -0.0036920 -0.0072394 -0.0011340 -0.0012504 -0.0008682 -0.0057969  0.0015323 -0.0056906  0.0001291 -0.0000235  0.0013652 -0.0038286  0.0006456  0.0018155  0.0104162  0.0514761 -0.0203719 -0.0129069  0.0033684  0.0208006  0.0107269  0.0160381 -0.0057767 -0.0773678  0.0178999  0.0128244 -0.0014891  0.0009132 -0.0013108 -0.0008793  0.0019781 -0.0005982  0.0002483 -0.0002130  0.0013589 -0.0007984  0.0003407  0.0010888 -0.0041549  0.0069092  0.0003394 -0.0008571
5  2  0.0645853  0.0132507 -0.1283751 -0.0404678  0.0378500 -0.0318274 -0.0159190  0.0093061  0.0054612  0.0256072 -0.1193362  0.0462834  0.0614913  0.0360870  0.0136057 -0.0191105 -0.0060702  0.0337955 -0.0057670 -0.0044796  0.0137005  0.0180452  0.0495576 -0.0162425  0.0377844  0.0099865  0.0030988 -0.0020883 -0.0007936  0.0022702  0.0002813  0.0013490  0.0047259  0.0045430 -0.0012604 -0.0000554  0.0068048  0.0015290 -0.0004464 -0.0002124 -0.0001919 -0.0012761  0.0000225 -0.0002032  0.0002744 -0.0016990 -0.0000554 -0.0002852  0.0212277 -0.0037124 -0.0106822 -0.0125771 -0.0150630 -0.0056248  0.0070373 -0.0018688 -0.0033472  0.0060193  0.0266893  0.0001431  0.0022351  0.0033877  0.0003588 -0.0000146  0.0000722 -0.0006881  0.0000406 -0.0002120 -0.0001551 -0.0019117 -0.0002096  0.0000554  0.0073149 -0.0059742 -0.0015286 -0.0011886
5  3 -0.0185891 -0.0210559 -0.0626738  0.0898140 -0.0032940  0.0138424 -0.0018571 -0.0355618  0.0076653 -0.0089878 -0.0273585 -0.0075304 -0.0369538  0.0183031 -0.0058300 -0.0043621  0.0087125 -0.0033504 -0.0016822  0.0078131 -0.0357581 -0.0042726 -0.0069868  0.0001676  0.0036870  0.0020604 -0.0016882 -0.0029240 -0.0003844  0.0005484 -0.0004137 -0.0001501 -0.0013397 -0.0015533  0.0006412 -0.0001613  0.0013570 -0.0031712  0.0003192 -0.0002867  0.0000030  0.0005121  0.0002392  0.0001073  0.0023819  0.0012361 -0.0001153 -0.0000819  0.0159694  0.0095881  0.0081041 -0.0015392 -0.0022700 -0.0001493  0.0029113  0.0057808 -0.0173246 -0.0080270 -0.0058395  0.0000593 -0.0002616 -0.0001190  0.0001727  0.0000966 -0.0016866 -0.0000122 -0.0002538  0.0000461  0.0008297 -0.0012288  0.0000055 -0.0002224 -0.0000357  0.0005947  0.0000258 -0.0005182
6  0 -0.3625027        NaN  0.1317782        NaN -0.0157830        NaN -0.0636583        NaN  0.1606155        NaN  0.0175857        NaN  0.2273580        NaN  0.0402289        NaN  0.0034686        NaN  0.0879691        NaN -0.0283177        NaN  0.0305554        NaN  0.0008036        NaN  0.0108636        NaN  0.0102703        NaN  0.0013677        NaN  0.0013631        NaN  0.0032536        NaN  0.0004510        NaN  0.0048538        NaN -0.0125927        NaN -0.0001049        NaN  0.0012528        NaN -0.0008303        NaN  0.0231750        NaN -0.0141065        NaN  0.0043644        NaN  0.0518696        NaN -0.0008228        NaN  0.0182170        NaN -0.0016127        NaN  0.0011249        NaN -0.0058876        NaN  0.0001339        NaN  0.0023508        NaN -0.0006372        NaN -0.0041376        NaN -0.0004891        NaN
6  1  0.0617772 -0.1745056 -0.0913854  0.5006948 -0.2188604  0.0252338 -0.0216551  0.0342694 -0.0120076 -0.0155129 -0.2723464 -0.4782168  0.0063888  0.0206470 -0.1473707 -0.3829828 -0.1089083 -0.0097586  0.0058237 -0.0063518  0.0070082 -0.0059938  0.0618142  0.0702695  0.0748730 -0.0349218  0.0044229 -0.0036473 -0.0004232  0.0025887 -0.0009910 -0.0019406  0.0073768  0.0032791 -0.0004832 -0.0000544  0.0081920  0.0193179 -0.0000859  0.0001960 -0.0013098 -0.0020238  0.0022000  0.0012038 -0.0030575 -0.0011377 -0.0002025  0.0001326  0.0110614  0.0246992 -0.0195025 -0.0526045 -0.0521219  0.0082555  0.0050887 -0.0108448 -0.0048288 -0.0223492  0.0159998  0.0248748  0.0039184  0.0038171  0.0001723 -0.0000816  0.0011866 -0.0012459  0.0008960  0.0012103  0.0007208 -0.0021611 -0.0002971  0.0002782  0.0062729 -0.0036356 -0.0011306 -0.0032854
6  2 -0.0616516  0.2868014  0.0062493 -0.0324734  0.0110899  0.0329755  0.0382653  0.0043203 -0.0782796 -0.2012375  0.0126286  0.0474837  0.0715020  0.0205211  0.0203487  0.0029460  0.0008521 -0.0249764 -0.0133390  0.0059748  0.0674005  0.0768508  0.0083253 -0.0073714  0.0015656 -0.0024226  0.0036676 -0.0114052 -0.0046612  0.0015216  0.0005399  0.0005846 -0.0009554  0.0009152 -0.0017404  0.0023520  0.0015067 -0.0025538 -0.0002823 -0.0009106  0.0035094  0.0010993 -0.0004213  0.0000006  0.0024453  0.0013091 -0.0000832 -0.0009938 -0.0383277  0.0437348 -0.0032639 -0.0073711 -0.0000241  0.0009566 -0.0084110 -0.0078208  0.0414934 -0.0157068  0.0064527  0.0016691 -0.0006470 -0.0007141  0.0002438 -0.0004027 -0.0002904  0.0010056  0.0000418 -0.0001464  0.0005300  0.0001174 -0.0002243 -0.0001271  0.0076906 -0.0036883 -0.0006289  0.0000682
