# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Apr 2019
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2018-09).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1  0.0226323  0.2265550  0.3314877  0.1379561 -0.0442907 -0.4444807  0.0069677  0.0361623  0.0384543 -0.0225018 -0.0193158 -0.1374195 -0.0064695 -0.0477633 -0.0990514 -0.0968621  0.2561347  0.3954956  0.0059337 -0.0048201 -0.0363797 -0.0111578 -0.0189647  0.0252458 -0.0627429  0.0737672  0.0035369 -0.0061806 -0.0002632 -0.0007877  0.0013544  0.0008837  0.0030568  0.0074620 -0.0008647  0.0010236 -0.0020621  0.0090654 -0.0002772  0.0006896  0.0003182  0.0023790  0.0006596 -0.0007381 -0.0029130  0.0036767 -0.0010291  0.0001452 -0.0379968  0.0114845 -0.0276320 -0.0182503  0.0409762  0.1552658  0.0050771 -0.0069558  0.0003515 -0.0078375 -0.0044626  0.0168863 -0.0002897 -0.0145983  0.0005240 -0.0002095 -0.0007468  0.0008301 -0.0001480  0.0003643 -0.0040919  0.0078145 -0.0003834  0.0001917 -0.0040037  0.0023653  0.0081002  0.0042471
4  2  0.0822772  0.2349057  0.0466075 -0.0060913  0.0194342 -0.0071341  0.0229441  0.0176881 -0.0733480 -0.1458360  0.0523855  0.0078284  0.0665202  0.0041958  0.0211194 -0.0119383 -0.0115887 -0.0190889 -0.0040384  0.0023961  0.0731002  0.0947718  0.0112018 -0.0126987  0.0021432 -0.0000974  0.0158868  0.0127962 -0.0034262 -0.0021518  0.0002535  0.0002508  0.0015720 -0.0021394 -0.0026284 -0.0020497  0.0006895  0.0004927 -0.0014865 -0.0006876  0.0000748 -0.0006457 -0.0001518  0.0000076  0.0008840 -0.0011463 -0.0014007  0.0004232 -0.0357069 -0.0007906 -0.0070959  0.0119848  0.0002315  0.0072744 -0.0034469 -0.0060394  0.0411760  0.0193442  0.0065592 -0.0115164 -0.0013572  0.0006566  0.0015707 -0.0004938  0.0013382 -0.0002755  0.0000813 -0.0000045  0.0026418  0.0003205 -0.0012106  0.0006502 -0.0020735  0.0049491  0.0003385  0.0004186
4  3 -0.1002248 -0.0270324 -0.4929892 -0.0390452  0.0313301  0.0013329  0.0050656  0.0336066  0.0193132 -0.0086091 -0.0103349 -0.0379994  0.0047401  0.0266819  0.0135553 -0.0081576 -0.0118800 -0.0026425  0.0011577 -0.0016804 -0.0092820  0.0162810  0.0111985  0.0029626 -0.0011763  0.0004208  0.0049796  0.0024263  0.0013577  0.0006263 -0.0009374 -0.0010417 -0.0004953  0.0001041  0.0008464 -0.0009592 -0.0007696 -0.0003983  0.0000992 -0.0004940 -0.0003666  0.0001234  0.0002078  0.0001886 -0.0011008 -0.0005604  0.0002292 -0.0000409  0.0113714 -0.0126551  0.0064453 -0.0047152 -0.0070878  0.0041615 -0.0009192  0.0009092 -0.0060036  0.0151780  0.0016926  0.0049856  0.0014527  0.0007839 -0.0003828 -0.0006834 -0.0005441 -0.0005701  0.0002335  0.0002833 -0.0011121 -0.0004406 -0.0001130  0.0003359  0.0007731 -0.0010199 -0.0020872 -0.0006542
5  0  0.1171173        nan  0.5049831        nan  0.0563587        nan  0.0300842        nan  0.0030658        nan -0.4348130        nan -0.0295982        nan -0.1026935        nan -0.1787261        nan -0.0006036        nan -0.0163365        nan  0.1601080        nan -0.0110360        nan  0.0032020        nan -0.0024482        nan -0.0045946        nan -0.0019454        nan -0.0020504        nan -0.0037181        nan  0.0004325        nan  0.0025101        nan  0.0060524        nan  0.0013096        nan  0.0018619        nan -0.0073395        nan -0.0959812        nan -0.1087552        nan  0.0018714        nan  0.0014052        nan  0.0810291        nan  0.0024572        nan -0.0006861        nan -0.0019494        nan  0.0032251        nan -0.0024017        nan  0.0007979        nan  0.0108168        nan  0.0080595        nan
5  1  0.2021180 -0.5765254  0.0715173  0.0109746 -0.0010455 -0.0672913  0.0116738  0.0099765 -0.4010113  0.9584516 -0.0144657 -0.0153289 -0.4000685  0.7904120  0.0183236  0.0022788 -0.0128515  0.0343898  0.0186187 -0.0202603  0.0492201 -0.3142134  0.0305234  0.0261458  0.0024797 -0.0027221  0.0156151  0.0128217  0.0001303  0.0109362 -0.0001921  0.0008616 -0.0047223  0.0031904 -0.0037224 -0.0074334 -0.0011676 -0.0009769 -0.0011391 -0.0054794  0.0010731 -0.0055834  0.0002735 -0.0000351  0.0008289 -0.0031996  0.0005042  0.0023398 -0.0136669  0.0715729 -0.0281982 -0.0164845  0.0031521  0.0249759  0.0075409  0.0150505  0.0162536 -0.0840268  0.0265574  0.0165252 -0.0002324 -0.0002542 -0.0012264 -0.0012053  0.0028059 -0.0008606  0.0001729 -0.0002351  0.0014228 -0.0001713  0.0002569  0.0014998 -0.0036410  0.0063090  0.0002414 -0.0010000
5  2  0.0994660  0.0415650 -0.1467582 -0.0213601  0.0152670 -0.0185829 -0.0209038  0.0144036  0.0214670 -0.0099208 -0.1090251  0.0353829  0.0740566  0.0318134  0.0081549 -0.0384137 -0.0012070  0.0246260 -0.0039142 -0.0053382  0.0241495  0.0212382  0.0424834 -0.0302676  0.0365041  0.0069092  0.0032019 -0.0015786 -0.0008226  0.0011029 -0.0004664  0.0010147  0.0044122  0.0030761 -0.0006271 -0.0005086  0.0067791  0.0010501 -0.0005321 -0.0004512 -0.0004567 -0.0008514  0.0001670 -0.0001081 -0.0000651 -0.0007752 -0.0001956 -0.0003633  0.0127076 -0.0061944 -0.0010535 -0.0060007 -0.0162333 -0.0003399  0.0076818 -0.0019420  0.0066077  0.0110051  0.0205066 -0.0090046  0.0025266  0.0018707  0.0004375  0.0000385 -0.0002905 -0.0004614  0.0001512 -0.0001192 -0.0006165 -0.0002030 -0.0004451 -0.0000834  0.0070744 -0.0048881 -0.0014188 -0.0010166
5  3 -0.0265596  0.0208623 -0.0628777  0.0703773  0.0005772  0.0167732  0.0022432 -0.0313252  0.0136795 -0.0103143 -0.0468905 -0.0041578 -0.0406137  0.0120642 -0.0168685  0.0052103  0.0081787 -0.0054329 -0.0026941  0.0056680 -0.0425080  0.0044462 -0.0175402  0.0111593  0.0040472  0.0030491 -0.0038241 -0.0048662 -0.0005832 -0.0005399 -0.0005292  0.0003046 -0.0010788 -0.0003194  0.0015611  0.0005282  0.0013643 -0.0020706  0.0004803 -0.0000176 -0.0003719  0.0000018  0.0001463  0.0000069  0.0025974 -0.0010257  0.0002190  0.0001308  0.0221371  0.0130274  0.0224426 -0.0121681 -0.0044734  0.0007847  0.0043404  0.0069638 -0.0241407 -0.0074090 -0.0202749  0.0104125 -0.0009042 -0.0026296 -0.0000347  0.0000193 -0.0015973 -0.0008863 -0.0003056  0.0000506  0.0004975 -0.0015186  0.0000929 -0.0000930 -0.0000106 -0.0018544 -0.0001619 -0.0003653
6  0 -0.2943844        nan  0.1123313        nan -0.0220162        nan -0.0609812        nan  0.1277502        nan  0.0152336        nan  0.2096198        nan  0.0513334        nan  0.0115212        nan  0.0896524        nan -0.0341093        nan  0.0443446        nan  0.0000685        nan  0.0119063        nan  0.0085730        nan  0.0012289        nan  0.0025421        nan  0.0028529        nan  0.0003667        nan  0.0046909        nan -0.0121990        nan  0.0000124        nan  0.0004514        nan -0.0010265        nan  0.0325853        nan -0.0231406        nan  0.0033265        nan  0.0534865        nan -0.0061119        nan  0.0280858        nan -0.0010685        nan  0.0010692        nan -0.0050521        nan  0.0001307        nan  0.0017773        nan -0.0005980        nan -0.0043912        nan -0.0002354        nan
6  1  0.1166279 -0.1442892 -0.0858524  0.4946821 -0.2112543  0.0376582 -0.0213291  0.0562667 -0.0066122 -0.0294650 -0.2838868 -0.4859316  0.0220396  0.0227288 -0.1441698 -0.3873878 -0.1039805 -0.0182944  0.0031560 -0.0115246  0.0151922 -0.0016917  0.0774152  0.0867864  0.0691637 -0.0353827  0.0044905 -0.0033972 -0.0012589  0.0002976 -0.0017031 -0.0016564  0.0082955  0.0004038 -0.0009163  0.0000849  0.0099255  0.0207188 -0.0005820  0.0006862 -0.0014776 -0.0014962  0.0022830  0.0013304 -0.0019928 -0.0011706 -0.0005869  0.0004912  0.0221333  0.0198838 -0.0289999 -0.0681908 -0.0510156  0.0183651  0.0036202 -0.0146782 -0.0091738 -0.0160549  0.0266327  0.0353914  0.0039763  0.0054490  0.0005659 -0.0003576  0.0009234 -0.0011889  0.0009340  0.0011460  0.0014238 -0.0017852 -0.0006704  0.0006249  0.0062907 -0.0046687 -0.0012371 -0.0030105
6  2 -0.0674409  0.2395329 -0.0101382 -0.0419091  0.0065305  0.0106408  0.0418141  0.0149213 -0.0709360 -0.1387630  0.0086321  0.0442624  0.0834265 -0.0017306  0.0207605  0.0030920  0.0012400 -0.0167976 -0.0158577  0.0031626  0.0689217  0.0612950  0.0108127 -0.0075109 -0.0003583  0.0000441  0.0023109 -0.0121379 -0.0036720  0.0027666  0.0006545  0.0004224 -0.0000186  0.0009307 -0.0024282  0.0026688  0.0018394 -0.0021491 -0.0009323 -0.0010827  0.0030187  0.0011639 -0.0003803  0.0000627  0.0018203  0.0012159 -0.0002226 -0.0012243 -0.0351723  0.0382719 -0.0037300 -0.0076488  0.0000041  0.0040452 -0.0065271 -0.0079448  0.0391379 -0.0118064  0.0073495  0.0024428 -0.0007893 -0.0013871  0.0004669 -0.0001530 -0.0014204  0.0005521 -0.0000002 -0.0001422 -0.0002398 -0.0005330 -0.0004436 -0.0004521  0.0073194 -0.0080152 -0.0004632 -0.0000961
